16	Male	White / Caucasian	Europe	Grade/primary school	Less than 20 hours	Most of my work is web-related.	Yes - frequently	Somewhat satisfied
26	Male	White / Caucasian	Europe	Some college or university	40-49 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
23	Female	White / Caucasian	Europe	Some college or university	30-39 hours	About half my work is web-related.	Yes - very frequently	Neutral
29	Female	White / Caucasian	Europe	Some college or university	40-49 hours	Most of my work is web-related.	Yes - once in a while	Somewhat satisfied
29	Male	White / Caucasian	Europe	Master's degree	40-49 hours	All or nearly all of my work is web-related.	Yes - very frequently	Somewhat satisfied
22	Male	White / Caucasian	Europe	High/secondary school	60 hours or more	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
24	Male	White / Caucasian	Europe	High/secondary school	40-49 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
29	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat dissatisfied
33	Male	White / Caucasian	North and Central America	College diploma, associate's, bachelor's, or other degree	50-59 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
39	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	50-59 hours	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
21	Male	White / Caucasian	Europe	High/secondary school	30-39 hours	All or nearly all of my work is web-related.	Yes - very frequently	Somewhat satisfied
30	Male	White / Caucasian	Europe	Master's degree	30-39 hours	Most of my work is web-related.	Yes - frequently	Somewhat satisfied
29	Male	White / Caucasian	Europe	Some college or university	40-49 hours	Around a quarter of my work is web-related.	Yes - once in a while	Somewhat satisfied
35	Male	White / Caucasian	Europe	High/secondary school	30-39 hours	All or nearly all of my work is web-related.	Yes - once in a while	Somewhat dissatisfied
25	Male	White / Caucasian	Europe	High/secondary school	Less than 20 hours	I don't do any web-related work.	Yes - frequently	Neutral
0	null	null	null	null	30-39 hours	Most of my work is web-related.	Yes - once in a while	Neutral
19	Male	White / Caucasian	Europe	Some college or university	20-29 hours	All or nearly all of my work is web-related.	Yes - very frequently	Somewhat satisfied
31	Male	White / Caucasian	Europe	Master's degree	40-49 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
28	Male	White / Caucasian	Europe	Some college or university	40-49 hours	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
37	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	50-59 hours	Most of my work is web-related.	Yes - frequently	Somewhat satisfied
53	Male	White / Caucasian	North and Central America	Master's degree	50-59 hours	All or nearly all of my work is web-related.	Yes - frequently	Very satisfied
24	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
25	Male	White / Caucasian	Europe	Some college or university	40-49 hours	All or nearly all of my work is web-related.	Yes - once in a while	Somewhat satisfied
27	Male	White / Caucasian	Europe	Master's degree	40-49 hours	All or nearly all of my work is web-related.	Yes - very frequently	Neutral
30	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat dissatisfied
32	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	Most of my work is web-related.	Yes - once in a while	Somewhat dissatisfied
23	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
34	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	Most of my work is web-related.	Yes - frequently	Somewhat satisfied
19	Male	Other	Europe	High/secondary school	20-29 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
25	Male	Other	Asia	Some college or university	50-59 hours	All or nearly all of my work is web-related.	Yes - very frequently	Somewhat satisfied
24	Male	White / Caucasian	Europe	High/secondary school	40-49 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat dissatisfied
22	Male	White / Caucasian	Europe	Some college or university	40-49 hours	All or nearly all of my work is web-related.	Yes - very frequently	Neutral
30	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	All or nearly all of my work is web-related.	Yes - frequently	Very satisfied
31	Male	White / Caucasian	Europe	High/secondary school	60 hours or more	All or nearly all of my work is web-related.	Yes - frequently	Very dissatisfied
23	Male	Other	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	Web-related work is a small part of what I do.	Yes - very frequently	Somewhat dissatisfied
28	Male	White / Caucasian	Europe	High/secondary school	20-29 hours	All or nearly all of my work is web-related.	Yes - frequently	Neutral
32	Male	White / Caucasian	Europe	Master's degree	40-49 hours	Most of my work is web-related.	Yes - once in a while	Somewhat satisfied
21	Male	White / Caucasian	Europe	Some college or university	40-49 hours	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
29	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat dissatisfied
28	Male	White / Caucasian	Oceania	Some college or university	60 hours or more	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
14	Male	White / Caucasian	Europe	Grade/primary school	20-29 hours	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
35	Male	White / Caucasian	Europe	Master's degree	60 hours or more	All or nearly all of my work is web-related.	Yes - very frequently	Very satisfied
24	Male	Asian / Pacific Rim	Asia	College diploma, associate's, bachelor's, or other degree	40-49 hours	Most of my work is web-related.	Yes - frequently	Somewhat satisfied
25	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	Most of my work is web-related.	Yes - very frequently	Somewhat satisfied
22	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	Most of my work is web-related.	Yes - frequently	Very dissatisfied
29	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	Most of my work is web-related.	Yes - frequently	Neutral
26	Male	White / Caucasian	Europe	Master's degree	30-39 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
28	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	Most of my work is web-related.	Yes - frequently	Somewhat satisfied
42	Male	White / Caucasian	North and Central America	College diploma, associate's, bachelor's, or other degree	30-39 hours	All or nearly all of my work is web-related.	Yes - once in a while	Somewhat dissatisfied
26	Male	White / Caucasian	Asia	Some college or university	30-39 hours	All or nearly all of my work is web-related.	Yes - very frequently	Somewhat satisfied
35	Male	White / Caucasian	North and Central America	College diploma, associate's, bachelor's, or other degree	50-59 hours	All or nearly all of my work is web-related.	Yes - once in a while	Neutral
25	Male	White / Caucasian	Europe	Some college or university	20-29 hours	All or nearly all of my work is web-related.	Yes - very frequently	Somewhat satisfied
24	Female	White / Caucasian	Europe	Master's degree	40-49 hours	Most of my work is web-related.	Yes - very frequently	Somewhat satisfied
32	Male	White / Caucasian	Europe	Some college or university	Less than 20 hours	All or nearly all of my work is web-related.	Yes - frequently	Somewhat satisfied
30	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	Most of my work is web-related.	Yes - very frequently	Somewhat satisfied
35	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	40-49 hours	About half my work is web-related.	Yes - once in a while	Somewhat satisfied
26	Male	White / Caucasian	Europe	College diploma, associate's, bachelor's, or other degree	30-39 hours	Web-related work is a small part of what I do.	Yes - frequently	Somewhat dissatisfied
23	Male	White / Caucasian	Europe	Some college or university	30-39 hours	All or nearly all of my work is web-related.	Yes - frequently	Neutral
